split,feature,n,mean,std,min,max,zero_frac
train,principal_type,19209477,0.156692,0.36351,0.0,1.0,0.843308
train,role_tenure_days,19209477,148.16926,87.901702,0.0,304.39912,5.2e-05
train,policy_breadth,19209477,3.262596,0.449313,0.0,4.0,5.2e-05
train,cross_account_depth,19209477,3.775006,0.51294,1.0,4.0,0.0
train,is_supervisor,19209477,0.004445,0.066524,0.0,1.0,0.995555
train,hour_sin,19209477,-0.1193,0.639344,-1.0,1.0,2e-06
train,hour_cos,19209477,-0.694519,0.307653,-1.0,1.0,0.0
train,dow_sin,19209477,0.33531,0.536765,-0.974928,0.974928,0.189304
train,dow_cos,19209477,-0.077582,0.770345,-0.900969,1.0,0.0
train,modal_hour_deviation,19209477,0.330113,0.241152,0.0,1.0,0.128611
train,log_inter_request_gap,19209477,4.7072,1.903284,0.0,12.676579,0.01204
train,action_frequency,19209477,0.90334,0.205608,0.0,1.0,0.000169
train,read_write_ratio,19209477,0.987357,0.013773,0.499923,1.0,0.0
train,first_time_action,19209477,0.000169,0.013002,0.0,1.0,0.999831
train,action_class_entropy,19209477,0.214074,0.189438,0.0,1.358014,0.000104
train,log_action_history,19209477,7.933577,0.773575,0.0,9.446498,5.2e-05
train,is_session_action,19209477,0.028563,0.166575,0.0,1.0,0.971437
train,is_egress_action,19209477,0.971437,0.166575,0.0,1.0,0.028563
train,resource_sensitivity,19209477,0.791423,0.090599,0.3,1.0,0.0
train,cross_account_flag,19209477,0.028524,0.166463,0.0,1.0,0.971476
train,resource_novelty,19209477,0.966849,0.034109,0.0,1.0,4e-06
train,arn_prefix_depth,19209477,0.08561,0.36787,0.0,2.0,0.942913
train,first_time_resource,19209477,0.022362,0.147856,0.0,1.0,0.977638
train,calls_1min,19209477,0.891991,2.808832,0.0,189.0,0.645714
train,calls_15min,19209477,5.311067,7.433799,0.0,288.0,0.10789
train,calls_60min,19209477,14.348635,12.125049,0.0,303.0,0.025279
train,log_bytes_read_60min,19209477,7.92498,1.818146,0.0,11.599488,0.040454
