split,feature,n,mean,std,min,max,zero_frac
train,principal_type,1125430,0.15746,0.364234,0.0,1.0,0.84254
train,role_tenure_days,1125430,7.33255,4.854981,0.0,17.82735,0.000889
train,policy_breadth,1125430,3.175725,0.534361,0.0,4.0,0.000889
train,cross_account_depth,1125430,3.780455,0.506799,1.0,4.0,0.0
train,is_supervisor,1125430,0.004293,0.065384,0.0,1.0,0.995707
train,hour_sin,1125430,-0.12085,0.63964,-1.0,1.0,2e-06
train,hour_cos,1125430,-0.693506,0.308717,-1.0,1.0,0.0
train,dow_sin,1125430,0.325717,0.528123,-0.974928,0.974928,0.243041
train,dow_cos,1125430,0.071401,0.780959,-0.900969,1.0,0.0
train,modal_hour_deviation,1125430,0.288616,0.226447,0.0,1.0,0.137767
train,log_inter_request_gap,1125430,4.709249,1.889877,0.0,12.365641,0.012469
train,action_frequency,1125430,0.899501,0.209989,0.0,1.0,0.002869
train,read_write_ratio,1125430,0.988507,0.019759,0.499923,1.0,0.0
train,first_time_action,1125430,0.002869,0.053487,0.0,1.0,0.997131
train,action_class_entropy,1125430,0.215807,0.192703,0.0,1.358014,0.001783
train,log_action_history,1125430,6.168372,1.089429,0.0,8.300767,0.000889
train,is_session_action,1125430,0.028786,0.167205,0.0,1.0,0.971214
train,is_egress_action,1125430,0.971214,0.167205,0.0,1.0,0.028786
train,resource_sensitivity,1125430,0.791505,0.091126,0.3,1.0,0.0
train,cross_account_flag,1125430,0.029489,0.169173,0.0,1.0,0.970511
train,resource_novelty,1125430,0.963076,0.042138,0.0,1.0,7.6e-05
train,arn_prefix_depth,1125430,0.087765,0.372881,0.0,2.0,0.941724
train,first_time_resource,1125430,0.084425,0.278024,0.0,1.0,0.915575
train,calls_1min,1125430,0.853812,2.508319,0.0,92.0,0.649395
train,calls_15min,1125430,5.233973,7.277441,0.0,248.0,0.108012
train,calls_60min,1125430,14.258089,11.822897,0.0,265.0,0.025239
train,log_bytes_read_60min,1125430,7.919765,1.816066,0.0,11.461758,0.040458
train,distinct_resources_60min,1125430,9.24001,5.249192,0.0,52.0,0.025239
train,distinct_actions_60min,1125430,1.240523,0.523929,0.0,4.0,0.025239
train,asn_novelty,1125430,0.00244,0.049336,0.0,1.0,0.99756
train,geodesic_distance_km,1125430,39.957471,695.597904,0.0,19860.21226,0.996058
train,device_fingerprint_match,1125430,0.997559,0.049345,0.0,1.0,0.002441
train,log_mfa_age,1125430,9.134865,1.22747,0.0,12.47136,0.000892
train,host_novelty,1125430,0.002441,0.049345,0.0,1.0,0.997559
val,principal_type,278723,0.15651,0.363338,0.0,1.0,0.84349
val,role_tenure_days,278723,17.39583,1.042048,15.88022,21.463194,0.0
val,policy_breadth,278723,3.268241,0.443044,3.0,4.0,0.0
val,cross_account_depth,278723,3.781055,0.507249,1.0,4.0,0.0
val,is_supervisor,278723,0.004334,0.065691,0.0,1.0,0.995666
val,hour_sin,278723,-0.122354,0.640639,-1.0,0.99999,4e-06
val,hour_cos,278723,-0.693151,0.306843,-1.0,1.0,0.0
val,dow_sin,278723,0.300722,0.600764,-0.974928,0.974928,0.0
val,dow_cos,278723,-0.666791,0.32255,-0.900969,-0.222521,0.0
val,modal_hour_deviation,278723,0.311888,0.234037,0.0,1.0,0.128045
val,log_inter_request_gap,278723,4.716008,1.887215,0.0,11.021919,0.011901
val,action_frequency,278723,0.902497,0.206179,0.001599,0.993591,0.0
val,read_write_ratio,278723,0.987438,0.013104,0.880336,0.997738,0.0
val,first_time_action,278723,0.0,0.0,0.0,0.0,1.0
val,action_class_entropy,278723,0.215922,0.190179,0.042926,1.149676,0.0
val,log_action_history,278723,7.167908,0.558812,4.714684,8.503773,0.0
val,is_session_action,278723,0.028448,0.166248,0.0,1.0,0.971552
val,is_egress_action,278723,0.971552,0.166248,0.0,1.0,0.028448
val,resource_sensitivity,278723,0.791576,0.090559,0.3,1.0,0.0
val,cross_account_flag,278723,0.029,0.167807,0.0,1.0,0.971
val,resource_novelty,278723,0.96583,0.034787,0.427382,1.0,0.0
val,arn_prefix_depth,278723,0.086448,0.370101,0.0,2.0,0.942552
val,first_time_resource,278723,0.03083,0.172857,0.0,1.0,0.96917
val,calls_1min,278723,0.862875,2.485543,0.0,78.0,0.649265
val,calls_15min,278723,5.300955,7.163061,0.0,122.0,0.108039
val,calls_60min,278723,14.452657,12.433007,0.0,156.0,0.024928
val,log_bytes_read_60min,278723,7.926872,1.812011,0.0,10.915198,0.04
val,distinct_resources_60min,278723,9.182414,5.170456,0.0,47.0,0.024928
val,distinct_actions_60min,278723,1.242617,0.526036,0.0,4.0,0.024928
val,asn_novelty,278723,0.001252,0.035363,0.0,1.0,0.998748
val,geodesic_distance_km,278723,38.037012,684.16793,0.0,19774.488977,0.996269
val,device_fingerprint_match,278723,0.998748,0.035363,0.0,1.0,0.001252
val,log_mfa_age,278723,9.142888,1.193772,0.0,11.386012,4e-06
val,host_novelty,278723,0.001252,0.035363,0.0,1.0,0.998748
test,principal_type,555618,0.158038,0.364777,0.0,1.0,0.841962
test,role_tenure_days,555618,24.166759,2.324894,19.895278,30.425694,0.0
test,policy_breadth,555618,3.271186,0.444572,3.0,4.0,0.0
test,cross_account_depth,555618,3.780029,0.507929,1.0,4.0,0.0
test,is_supervisor,555618,0.00435,0.065812,0.0,1.0,0.99565
test,hour_sin,555618,-0.109685,0.637221,-1.0,1.0,4e-06
